AHMED,1999,74,m
NATALE,1999,74,m
ENZO,1999,72,m
GIANMARIA,1999,70,m
GIOVANNI MARIA,1999,70,m
YOUSSEF,1999,70,m
ARTURO,1999,69,m
ELIAS,1999,69,m
ORAZIO,1999,69,m
TOBIAS,1999,68,m
ZAKARIA,1999,67,m
BRYAN,1999,66,m
ENEA,1999,66,m
UGO,1999,66,m
ELIO,1999,65,m
GIAMMARCO,1999,65,m
GIANPAOLO,1999,65,m
GIROLAMO,1999,65,m
LAPO,1999,65,m
TOBIA,1999,65,m
FABIANO,1999,64,m
EMMANUEL,1999,63,m
BENITO,1999,62,m
FABIAN,1999,62,m
FRANCESCA,1999,62,m
JOSEPH,1999,62,m
ANDREAS,1999,61,m
HAMZA,1999,61,m
MATTHIAS,1999,61,m
ALAN,1999,60,m
DANNY,1999,60,m
GIANVITO,1999,60,m
MICHELE PIO,1999,60,m
ALVISE,1999,59,m
GIOVANNI BATTISTA,1999,59,m
ATTILIO,1999,58,m
FRANCESCO SAVERIO,1999,58,m
ISMAELE,1999,58,m
IVANO,1999,58,m
JONAS,1999,58,m
LEANDRO,1999,57,m
SAVINO,1999,57,m
RUGGIERO,1999,56,m
STEFAN,1999,56,m
STEVEN,1999,55,m
AARON,1999,54,m
ALESSIA,1999,54,m
FAUSTO,1999,54,m
GIANPIERO,1999,54,m
JURI,1999,54,m
PIERGIORGIO,1999,54,m
RAOUL,1999,54,m
VINCENZO PIO,1999,54,m
AURELIO,1999,53,m
CARLO ALBERTO,1999,53,m
GIAMPIERO,1999,53,m
HANNES,1999,53,m
ORLANDO,1999,53,m
PIO,1999,53,m
ANAS,1999,52,m
COSTANTINO,1999,52,m
MAXIMILIAN,1999,52,m
PETER,1999,52,m
ALFIO,1999,51,m
IGOR,1999,51,m
JULIAN,1999,51,m
LEO,1999,51,m
FRANCESCO GIUSEPPE,1999,50,m
FULVIO,1999,50,m
RODOLFO,1999,50,m
BARTOLOMEO,1999,49,m
BERNARDO,1999,49,m
ALI,1999,48,m
PATRIK,1999,48,m
SAMIR,1999,48,m
MICHEL,1999,47,m
ACHRAF,1999,46,m
AUGUSTO,1999,46,m
FLORIAN,1999,46,m
FRANCESCO ANTONIO,1999,46,m
SALVATORE PIO,1999,46,m
MARTINA,1999,45,m
RAUL,1999,45,m
YASSINE,1999,45,m
CAMILLO,1999,44,m
DUCCIO,1999,44,m
FELIX,1999,44,m
YARI,1999,44,m
YASSIN,1999,44,m
ADAM,1999,43,m
DENNY,1999,43,m
RUGGERO,1999,43,m
CHIARA,1999,42,m
JOSHUA,1999,42,m
LORENZO MARIA,1999,42,m
MORGAN,1999,42,m
AMIR,1999,41,m
FERNANDO,1999,41,m
GIAMPAOLO,1999,41,m
GINO,1999,41,m
GIOVANNI PIO,1999,41,m
GIULIA,1999,41,m
LUIGI PIO,1999,41,m
WALID,1999,41,m
AMINE,1999,40,m
FILIPPO MARIA,1999,40,m
PIER PAOLO,1999,40,m
RAIMONDO,1999,40,m
TEODORO,1999,40,m
GIAN LUCA,1999,39,m
ILARIO,1999,39,m
MAX,1999,39,m
NIKO,1999,39,m
PHILIPP,1999,39,m
CRISTOPHER,1999,38,m
DANTE,1999,38,m
GIUSEPPE FRANCESCO,1999,38,m
ALESSANDRO PIO,1999,37,m
ARCANGELO,1999,37,m
DIMITRI,1999,37,m
MARKO,1999,37,m
RICHARD,1999,37,m
AMOS,1999,36,m
CATALDO,1999,36,m
EGIDIO,1999,36,m
GIANDOMENICO,1999,36,m
NABIL,1999,36,m
BENIAMINO,1999,35,m
DEMETRIO,1999,35,m
GIUSEPPE MARIA,1999,35,m
